target,model,horizon,MAE,RMSE,MAPE
hhs_care,Naive Persistence,1,6.444444444444445,7.474400756359446,0.2699007119766224
hhs_care,Moving Average (7d),1,18.42539682539685,19.94463993486771,0.7719140066791028
hhs_care,"ARIMA(2,1,2)",1,25.533741926555084,30.390175087203104,1.0706920402343325
hhs_care,Exponential Smoothing,1,19.37035440848452,27.45382666540212,0.809788319212258
hhs_care,Random Forest,1,10.457889661991603,12.840039429138882,0.4376400738473273
hhs_care,Gradient Boosting,1,9.746312265861414,11.76738954063777,0.4086308623194258
hhs_care,Naive Persistence,7,31.88888888888889,33.855575611706854,1.3342737019970508
hhs_care,Moving Average (7d),7,42.92698412698414,45.488679412008956,1.7915559213246106
hhs_care,"ARIMA(2,1,2)",7,54.288142180731924,57.73265734794197,2.2648824947218893
hhs_care,Exponential Smoothing,7,50.87649305020392,55.37065359861515,2.1119830419008316
hhs_care,Random Forest,7,35.21228503017547,52.06757298745239,1.4773618510547863
hhs_care,Gradient Boosting,7,34.39556419868113,37.1032218995137,1.4326503901807288
hhs_care,Naive Persistence,14,57.37777777777778,61.16135308437111,2.3900084811079076
hhs_care,Moving Average (7d),14,68.6222222222222,72.0924890964862,2.8571977600525043
hhs_care,"ARIMA(2,1,2)",14,88.9350958482578,91.55376418115421,3.679304611724171
hhs_care,Exponential Smoothing,14,86.78710072303076,95.86970650270946,3.560050196256205
hhs_care,Random Forest,14,30.735406647312075,43.24157371837422,1.2870838381800782
hhs_care,Gradient Boosting,14,33.23695793642272,39.47153131676214,1.3880141895432607
hhs_discharged,Naive Persistence,1,2.7333333333333334,3.803507153492243,42.60408783136057
hhs_discharged,Moving Average (7d),1,3.2253968253968255,3.9015085169050945,57.38331113331113
hhs_discharged,"ARIMA(2,1,2)",1,6.731761002795048,7.727563678457901,99.43086584139208
hhs_discharged,Exponential Smoothing,1,4.64736267665541,5.671441616967673,63.56489907200369
hhs_discharged,Random Forest,1,3.3811736423711887,4.060442295285906,64.88316859471979
hhs_discharged,Gradient Boosting,1,5.603256644116966,6.900548583021071,122.67961614437561
hhs_discharged,Naive Persistence,7,3.7333333333333334,4.844240566555986,55.07139956003591
hhs_discharged,Moving Average (7d),7,3.371428571428571,4.012226212923877,58.16968204955217
hhs_discharged,"ARIMA(2,1,2)",7,5.31906825957618,6.722796623910566,85.60306061700112
hhs_discharged,Exponential Smoothing,7,4.339290234392504,5.236217696931356,56.98930380340988
hhs_discharged,Random Forest,7,3.7348648827222006,4.431354426737068,69.08900304377656
hhs_discharged,Gradient Boosting,7,5.722314497969503,6.814430760902447,120.21062208556586
hhs_discharged,Naive Persistence,14,4.288888888888889,5.08811250749125,64.16167481508388
hhs_discharged,Moving Average (7d),14,3.7746031746031754,4.5155814897393,72.16909263175498
hhs_discharged,"ARIMA(2,1,2)",14,6.793457315990631,7.759255887864143,137.69816893787475
hhs_discharged,Exponential Smoothing,14,5.563154514464715,6.7057527166035955,94.94039370587335
hhs_discharged,Random Forest,14,4.10132949977391,4.752668511041768,77.36077076036631
hhs_discharged,Gradient Boosting,14,5.956978314795279,6.998270790343408,125.14638867965355
